Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
OPEN,Opendoor Technologies Inc.,3.7800,+0.6100,+19.24%,400.475M,199.65M,2.782B,--,+61.73%
INTC,Intel Corporation,23.66,-0.90,-3.66%,202.853M,92.134M,103.56B,--,+14.13%
WULF,TeraWulf Inc.,9.38,+0.41,+4.57%,159.759M,51.801M,3.678B,--,+106.21%
NVDA,NVIDIA Corporation,182.01,+1.56,+0.86%,129.676M,182.258M,4.439T,58.71,+38.81%
IQ,"iQIYI, Inc.",2.3300,+0.3400,+17.09%,107.657M,19.654M,2.244B,58.25,-39.88%
NU,Nu Holdings Ltd.,13.33,+0.23,+1.76%,80.413M,63.181M,64.415B,28.36,-9.34%
APLD,Applied Digital Corporation,16.34,+2.25,+15.97%,69.992M,49.797M,4.273B,--,+242.82%
PPCB,"Propanc Biopharma, Inc. Common Stock",5.85,+2.98,+103.83%,67.489M,"10,072",67.929M,--,"+239,066.67%"
PLTR,Palantir Technologies Inc.,174.03,-3.14,-1.77%,61.76M,73.009M,412.858B,580.10,+445.14%
LCID,"Lucid Group, Inc.",2.1800,0.0000,0.00%,55.091M,144.383M,6.698B,--,-32.92%
TSLA,"Tesla, Inc.",335.16,+4.60,+1.39%,56.567M,102.887M,1.081T,198.32,+48.42%
MARA,"MARA Holdings, Inc.",16.09,+0.42,+2.68%,50.078M,46.477M,5.961B,8.65,-4.68%
RUN,Sunrun Inc.,15.50,+1.58,+11.35%,50.003M,24.218M,3.576B,--,-31.29%
AAL,American Airlines Group Inc.,13.17,0.00,0.00%,52.61M,61.151M,8.69B,15.68,+27.74%
BMNR,"Bitmine Immersion Technologies, Inc.",54.87,-2.94,-5.09%,47.41M,31.746M,9.52B,--,+645.94%
NIO,NIO Inc.,4.8700,+0.0600,+1.25%,44.953M,50.607M,10.397B,--,+18.18%
SOUN,"SoundHound AI, Inc.",14.82,-0.77,-4.94%,42.241M,42.721M,6.042B,--,+214.95%
SOFI,"SoFi Technologies, Inc.",24.23,+0.46,+1.94%,44.421M,70.489M,29.014B,48.46,+218.63%
SNAP,Snap Inc.,7.34,+0.19,+2.66%,40.46M,39.661M,12.403B,--,-24.74%
RIOT,"Riot Platforms, Inc.",12.32,+0.99,+8.74%,39.48M,39.093M,4.554B,--,+40.75%
RIVN,"Rivian Automotive, Inc.",12.41,+0.17,+1.39%,38.085M,32.624M,15.059B,--,-9.53%
UNH,UnitedHealth Group Incorporated,308.49,+4.48,+1.47%,36.394M,17.987M,279.391B,13.35,-47.47%
BBD,Banco Bradesco S.A.,3.0200,+0.0600,+2.03%,35.331M,37.777M,29.815B,8.88,+1.37%
CIFR,Cipher Mining Inc.,6.05,+0.84,+16.12%,35.711M,31.912M,2.379B,--,+30.58%
WBD,"Warner Bros. Discovery, Inc.",11.82,-0.03,-0.25%,33.981M,60.954M,29.264B,38.13,+55.31%
AMD,"Advanced Micro Devices, Inc.",176.14,-1.37,-0.77%,35.71M,55.3M,285.847B,105.47,+14.32%
HOOD,"Robinhood Markets, Inc.",115.02,+0.85,+0.74%,35.392M,43.969M,102.215B,58.09,+462.97%
F,Ford Motor Company,11.46,+0.02,+0.17%,32.295M,84.332M,45.609B,14.69,+6.72%
BAC,Bank of America Corporation,47.92,+0.98,+2.09%,32.233M,38.77M,354.941B,14.05,+18.33%
NVO,Novo Nordisk A/S,53.75,+1.92,+3.71%,30.855M,14.432M,232.074B,13.71,-61.25%
OSCR,"Oscar Health, Inc.",16.65,+1.01,+6.46%,29.196M,25.437M,4.305B,--,-11.24%
AAPL,Apple Inc.,230.89,-0.70,-0.30%,36.052M,56.592M,3.426T,34.98,+2.52%
JOBY,"Joby Aviation, Inc.",16.06,-0.57,-3.43%,28.027M,33.49M,13.747B,--,+221.04%
AMCR,Amcor plc,8.48,-0.25,-2.86%,28.283M,26.146M,19.431B,26.50,-17.80%
PFE,Pfizer Inc.,25.07,-0.07,-0.28%,27.891M,41.002M,142.537B,13.26,-12.71%
NOK,Nokia Oyj,4.2500,+0.0500,+1.19%,26.861M,18.426M,22.917B,22.37,+0.96%
QBTS,D-Wave Quantum Inc.,16.56,-0.45,-2.65%,26.92M,63.648M,5.664B,--,"+1,734.95%"
ACHR,Archer Aviation Inc.,9.85,+0.03,+0.31%,27.501M,39.059M,6.354B,--,+159.79%
RGTI,"Rigetti Computing, Inc.",16.63,-0.02,-0.12%,26.543M,50.817M,5.391B,--,"+1,813.79%"
TWLO,Twilio Inc.,105.05,-0.62,-0.59%,24.816M,2.98M,16.118B,"1,050.50",+70.77%
IREN,IREN Limited,20.70,+1.01,+5.15%,25.032M,23.912M,5.008B,--,+142.49%
PCG,PG&E Corporation,15.10,+0.08,+0.53%,22.478M,27.312M,33.187B,13.98,-19.12%
VALE,Vale S.A.,9.81,-0.11,-1.11%,21.493M,42.831M,41.877B,8.04,-5.61%
CMCSA,Comcast Corporation,33.43,-0.02,-0.06%,24.585M,20.63M,123.431B,5.54,-16.92%
SMCI,"Super Micro Computer, Inc.",45.86,+0.49,+1.08%,22.329M,40.232M,27.37B,27.30,-27.25%
AMZN,"Amazon.com, Inc.",231.49,+0.46,+0.20%,25.138M,42.606M,2.469T,35.29,+29.63%
RKLB,Rocket Lab Corporation,44.97,+0.70,+1.58%,21.156M,22.733M,21.694B,--,+515.72%
ITUB,Itaú Unibanco Holding S.A.,6.97,0.00,0.00%,19.633M,29.979M,71.408B,9.42,+11.60%
HBAN,Huntington Bancshares Incorporated,16.68,+0.11,+0.66%,20.335M,31.203M,24.335B,12.45,+18.10%
HIMS,"Hims & Hers Health, Inc.",45.10,-0.92,-2.00%,18.564M,39.772M,10.194B,57.09,+177.90%
MSFT,Microsoft Corporation,517.10,-3.07,-0.59%,23.621M,19.456M,3.844T,37.94,+23.40%
BTG,B2Gold Corp.,3.8900,-0.0100,-0.26%,18.68M,43.033M,5.149B,--,+41.82%
RIG,Transocean Ltd.,2.9500,0.0000,0.00%,17.701M,35.808M,2.782B,--,-43.27%
