Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
SOUN,"SoundHound AI, Inc.",13.55,+2.83,+26.40%,204.199M,38.785M,5.443B,--,+120.12%
NVDA,NVIDIA Corporation,182.70,+1.93,+1.07%,121.536M,191.119M,4.456T,59.13,+72.57%
AAPL,Apple Inc.,229.35,+9.32,+4.24%,110.756M,54.848M,3.404T,34.75,+1.75%
TTD,"The Trade Desk, Inc.",54.23,-34.10,-38.61%,104.928M,10.948M,26.514B,66.13,-11.05%
BMNR,"Bitmine Immersion Technologies, Inc.",51.43,+10.15,+24.59%,90.125M,22.302M,5.776B,--,+432.65%
TSLA,"Tesla, Inc.",329.65,+7.38,+2.29%,90.602M,106.415M,1.063T,196.22,+61.14%
AMD,"Advanced Micro Devices, Inc.",172.76,+0.36,+0.21%,68.237M,53.587M,280.362B,103.45,+28.40%
LCID,"Lucid Group, Inc.",2.1300,-0.0400,-1.84%,67.648M,150.564M,6.544B,--,-31.97%
INTC,Intel Corporation,19.95,+0.18,+0.91%,74.827M,83.557M,87.321B,--,+0.30%
UAA,"Under Armour, Inc.",5.44,-1.20,-18.07%,60.523M,11.27M,2.257B,--,-15.95%
PLTR,Palantir Technologies Inc.,186.96,+4.76,+2.61%,62.3M,76.307M,443.533B,644.69,+507.13%
PBR,Petróleo Brasileiro S.A. - Petrobras,12.12,-0.96,-7.34%,59.415M,22.458M,73.939B,9.04,-7.95%
WBD,"Warner Bros. Discovery, Inc.",10.91,-0.95,-8.01%,59.781M,59.312M,27.002B,35.19,+68.71%
SOFI,"SoFi Technologies, Inc.",22.10,+0.02,+0.09%,48.66M,71.622M,26.436B,44.20,+232.53%
SNAP,Snap Inc.,7.41,-0.13,-1.72%,46.614M,38.201M,12.522B,--,-16.69%
AUR,"Aurora Innovation, Inc.",6.16,-0.04,-0.65%,47.417M,25.132M,11.367B,--,+76.64%
F,Ford Motor Company,11.32,+0.04,+0.35%,44.407M,86.321M,45.052B,14.51,+11.68%
AAL,American Airlines Group Inc.,11.62,-0.11,-0.94%,42.36M,61.533M,7.667B,13.83,+18.97%
VALE,Vale S.A.,10.22,+0.23,+2.30%,41.935M,42.372M,43.627B,8.38,-2.73%
QBTS,D-Wave Quantum Inc.,16.90,-0.27,-1.57%,41.448M,68.97M,5.281B,--,"+1,939.19%"
BTG,B2Gold Corp.,3.5800,-0.2500,-6.53%,42.147M,44.075M,4.731B,--,+55.06%
SMCI,"Super Micro Computer, Inc.",44.60,-2.07,-4.44%,42.601M,45.92M,26.618B,26.55,-8.27%
HOOD,"Robinhood Markets, Inc.",114.63,+3.40,+3.06%,41.635M,44.198M,101.869B,58.19,+520.70%
RKLB,Rocket Lab Corporation,44.69,+0.48,+1.09%,38.875M,23.008M,21.422B,--,+723.28%
GOOGL,Alphabet Inc.,201.42,+4.90,+2.49%,39.091M,40.521M,2.44T,21.50,+20.07%
PINS,"Pinterest, Inc.",35.13,-4.04,-10.31%,37.452M,10.604M,23.77B,12.92,+35.12%
NIO,NIO Inc.,4.8400,+0.1600,+3.42%,35.698M,48.204M,10.742B,--,+23.81%
PFE,Pfizer Inc.,24.58,+0.35,+1.44%,36.346M,42.506M,139.751B,13.01,-15.13%
BBD,Banco Bradesco S.A.,2.9000,+0.0100,+0.35%,33.564M,39.604M,28.131B,8.53,+7.84%
QS,QuantumScape Corporation,8.76,-0.48,-5.19%,32.707M,41.886M,4.958B,--,+62.68%
HL,Hecla Mining Company,7.60,+0.38,+5.26%,32.254M,21.424M,5.092B,47.50,+43.25%
CLSK,"CleanSpark, Inc.",10.07,-0.65,-6.06%,33.083M,26.953M,2.829B,--,-6.46%
CSCO,"Cisco Systems, Inc.",71.79,+1.89,+2.70%,31.118M,20.018M,284.288B,29.30,+53.73%
GT,The Goodyear Tire & Rubber Company,8.36,-1.90,-18.52%,28.589M,6.35M,2.388B,9.95,+33.25%
ITUB,Itaú Unibanco Holding S.A.,6.86,+0.03,+0.44%,28.043M,31.254M,67.274B,9.40,+19.82%
AMZN,"Amazon.com, Inc.",222.69,-0.44,-0.20%,31.105M,43.698M,2.375T,33.95,+33.66%
JOBY,"Joby Aviation, Inc.",16.64,-0.61,-3.54%,27.379M,32.545M,14.003B,--,+243.63%
MU,"Micron Technology, Inc.",118.89,+7.02,+6.28%,28.75M,21.988M,133.053B,21.42,+20.19%
KVUE,Kenvue Inc.,21.34,-0.42,-1.93%,25.925M,19.353M,40.971B,28.45,+3.52%
PTON,"Peloton Interactive, Inc.",7.84,+0.73,+10.27%,28.033M,14.368M,3.125B,--,+137.79%
TEM,"Tempus AI, Inc.",60.87,+2.13,+3.63%,25.965M,11.763M,10.538B,--,+51.59%
BAC,Bank of America Corporation,46.01,+1.09,+2.43%,25.802M,39.893M,340.794B,13.49,+17.35%
MP,MP Materials Corp.,74.32,+3.25,+4.57%,24.303M,14.989M,13.16B,--,+537.97%
LYFT,"Lyft, Inc.",13.41,-0.80,-5.63%,24.257M,18.027M,5.513B,58.30,+45.59%
RIVN,"Rivian Automotive, Inc.",11.79,-0.28,-2.32%,28.794M,33.202M,14.306B,--,-13.48%
MARA,"MARA Holdings, Inc.",15.38,-0.57,-3.57%,25.189M,47.769M,5.698B,8.27,-6.34%
UBER,"Uber Technologies, Inc.",89.56,-3.11,-3.36%,23.658M,20.927M,186.77B,15.26,+35.21%
PCG,PG&E Corporation,15.00,-0.05,-0.33%,23.253M,26.38M,32.968B,13.89,-17.31%
CMG,"Chipotle Mexican Grill, Inc.",41.44,-1.25,-2.93%,22.462M,15.173M,55.566B,36.67,-23.15%
HIMS,"Hims & Hers Health, Inc.",51.94,+0.89,+1.74%,23.11M,43.187M,11.739B,65.75,+219.86%
NVO,Novo Nordisk A/S,51.08,+2.32,+4.76%,22.148M,14.13M,209.089B,13.20,-63.47%
UA,"Under Armour, Inc.",5.19,-1.08,-17.22%,21.816M,2.941M,2.28B,--,-18.25%
ACHR,Archer Aviation Inc.,9.72,-0.08,-0.82%,21.526M,40.511M,5.336B,--,+169.23%
GOOG,Alphabet Inc.,202.09,+4.81,+2.44%,23.662M,27.147M,2.439T,21.57,+19.28%
NU,Nu Holdings Ltd.,12.30,-0.11,-0.89%,21.254M,63.934M,59.34B,27.95,+0.08%
GRAB,Grab Holdings Limited,4.8800,-0.0700,-1.41%,21.92M,37.894M,19.891B,244.00,+52.78%
RIOT,"Riot Platforms, Inc.",11.08,-0.50,-4.32%,20.756M,39.722M,4.095B,--,+43.67%
SMR,NuScale Power Corporation,39.35,-5.33,-11.93%,21.542M,14.751M,5.249B,--,+381.98%
RIG,Transocean Ltd.,3.1000,+0.1500,+5.08%,21.519M,37.698M,2.924B,--,-43.05%
MCHP,Microchip Technology Incorporated,61.87,-4.35,-6.57%,20.067M,9.384M,33.39B,--,-12.97%
RGTI,"Rigetti Computing, Inc.",15.44,-0.22,-1.40%,20.679M,53.8M,4.983B,--,"+1,882.28%"
T,AT&T Inc.,28.08,+0.02,+0.07%,19.435M,32.9M,200.783B,16.05,+43.97%
CDE,"Coeur Mining, Inc.",11.65,+0.37,+3.28%,19.252M,13.908M,7.488B,29.12,+107.35%
IONQ,"IonQ, Inc.",41.85,+1.36,+3.36%,20.358M,23.441M,12.423B,--,+468.68%
HBAN,Huntington Bancshares Incorporated,16.09,+0.22,+1.39%,18.503M,30.94M,23.586B,12.01,+16.61%
NBIS,Nebius Group N.V.,68.78,+3.47,+5.31%,18.347M,14.102M,16.418B,--,+226.55%
VTRS,Viatris Inc.,9.70,+0.31,+3.30%,18.082M,12.004M,11.385B,--,-20.29%
RUN,Sunrun Inc.,11.85,-0.15,-1.25%,18.543M,24.443M,2.734B,--,-32.92%
APLD,Applied Digital Corporation,14.20,-0.04,-0.28%,18.743M,51.95M,3.714B,--,+265.13%
